"Patient_ID","ASAH1_TPM","ASAH1_Group"
"TCGA-3L-AA1B",36.3369,"High"
"TCGA-4N-A93T",14.9636,"Low"
"TCGA-4T-AA8H",32.9821,"High"
"TCGA-5M-AAT4",17.2284,"Low"
"TCGA-5M-AAT5",14.7083,"Low"
"TCGA-5M-AAT6",22.753,"Low"
"TCGA-5M-AATA",16.1318,"Low"
"TCGA-5M-AATE",34.9508,"High"
"TCGA-A6-2671",13.8921,"Low"
"TCGA-A6-2672",32.7386,"High"
"TCGA-A6-2674",55.8302,"High"
"TCGA-A6-2675",30.9644,"High"
"TCGA-A6-2676",36.4062,"High"
"TCGA-A6-2677",31.2457,"High"
"TCGA-A6-2678",36.1528,"High"
"TCGA-A6-2679",9.8781,"Low"
"TCGA-A6-2680",24.2648,"Low"
"TCGA-A6-2681",23.4386,"Low"
"TCGA-A6-2682",24.3276,"Low"
"TCGA-A6-2683",16.1008,"Low"
"TCGA-A6-2684",44.0073,"High"
"TCGA-A6-2685",40.2618,"High"
"TCGA-A6-2686",30.6422,"High"
"TCGA-A6-3807",24.6607,"Low"
"TCGA-A6-3808",41.068,"High"
"TCGA-A6-3809",42.4214,"High"
"TCGA-A6-3810",45.8192,"High"
"TCGA-A6-4105",32.8238,"High"
"TCGA-A6-4107",36.0186,"High"
"TCGA-A6-5656",64.5923,"High"
"TCGA-A6-5657",16.2041,"Low"
"TCGA-A6-5659",17.5531,"Low"
"TCGA-A6-5660",22.2955,"Low"
"TCGA-A6-5661",29.2939,"High"
"TCGA-A6-5662",24.8571,"Low"
"TCGA-A6-5664",26.7481,"High"
"TCGA-A6-5665",24.4679,"Low"
"TCGA-A6-5666",45.6881,"High"
"TCGA-A6-5667",25.1482,"Low"
"TCGA-A6-6137",24.5355,"Low"
"TCGA-A6-6138",58.1683,"High"
"TCGA-A6-6140",21.1872,"Low"
"TCGA-A6-6141",30.9995,"High"
"TCGA-A6-6142",26.7615,"High"
"TCGA-A6-6648",20.8962,"Low"
"TCGA-A6-6649",45.2335,"High"
"TCGA-A6-6650",29.1958,"High"
"TCGA-A6-6651",45.2867,"High"
"TCGA-A6-6652",17.9671,"Low"
"TCGA-A6-6653",24.0197,"Low"
"TCGA-A6-6654",42.2034,"High"
"TCGA-A6-6780",109.6502,"High"
"TCGA-A6-6781",50.9729,"High"
"TCGA-A6-6782",29.4721,"High"
"TCGA-A6-A565",26.6511,"High"
"TCGA-A6-A566",41.3933,"High"
"TCGA-A6-A567",24.2657,"Low"
"TCGA-A6-A56B",9.3469,"Low"
"TCGA-A6-A5ZU",19.6837,"Low"
"TCGA-AA-3488",12.2631,"Low"
"TCGA-AA-3489",39.5245,"High"
"TCGA-AA-3492",32.9375,"High"
"TCGA-AA-3494",16.8492,"Low"
"TCGA-AA-3495",23.2451,"Low"
"TCGA-AA-3496",23.1951,"Low"
"TCGA-AA-3502",58.9994,"High"
"TCGA-AA-3506",25.1957,"Low"
"TCGA-AA-3509",24.4283,"Low"
"TCGA-AA-3510",27.3848,"High"
"TCGA-AA-3511",33.2542,"High"
"TCGA-AA-3514",37.0417,"High"
"TCGA-AA-3516",28.4195,"High"
"TCGA-AA-3517",17.9461,"Low"
"TCGA-AA-3518",27.4135,"High"
"TCGA-AA-3519",26.2881,"High"
"TCGA-AA-3520",26.1569,"High"
"TCGA-AA-3521",34.9339,"High"
"TCGA-AA-3522",52.4669,"High"
"TCGA-AA-3524",42.7009,"High"
"TCGA-AA-3525",25.3086,"Low"
"TCGA-AA-3526",40.3388,"High"
"TCGA-AA-3527",19.5576,"Low"
"TCGA-AA-3529",21.366,"Low"
"TCGA-AA-3530",37.4673,"High"
